source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
Alg_unreadable; Rothe	Alg_unreadable	parsed:Alg_unreadable<SEP>Rothe	cleaned:<SEP>Rothe	cleaned_0index:0
Alg_unreadable; Rothe HA	Alg_unreadable	parsed:Alg_unreadable<SEP>H.A. Rothe	cleaned:<SEP>H.A. Rothe	cleaned_0index:0
Alg_unreadable; Rothe SP	Alg_unreadable	parsed:Alg_unreadable<SEP>S.P. Rothe	cleaned:<SEP>S.P. Rothe	cleaned_0index:0
Alg_unreadable; Sydow P	Alg_unreadable	parsed:Alg_unreadable<SEP>P. Sydow	cleaned:<SEP>P. Sydow	cleaned_0index:0
Ali I; Chen L; Wilde-Duyfjes BEE de; Wilde WJJO de	Wilde-Duyfjes BEE de	parsed:I. Ali<SEP>L. Chen<SEP>Wilde-Duyfjes BEE de<SEP>Wilde WJJO	cleaned:I. Ali<SEP>L. Chen<SEP><SEP>Wilde Wjjo	cleaned_0index:2
Allen BH; Magill RE; Redfearn Jr PL				cleaned_0index:0
Allen BH; Redfearn Jr PL				cleaned_0index:0
Allioni C; Royen A van; Royen D van	Royen A van	parsed:C. van Allioni<SEP>Royen A van<SEP>D. Royen	cleaned:C. van Allioni<SEP><SEP>D. Royen	cleaned_0index:1
Almeda F; Flowers M; Wyatt R	Flowers M	parsed:F. Almeda<SEP>Flowers M<SEP>R. Wyatt	cleaned:F. Almeda<SEP><SEP>R. Wyatt	cleaned_0index:1
Almeida AL; Flowers M; Wyatt R	Flowers M	parsed:A.L. Almeida<SEP>Flowers M<SEP>R. Wyatt	cleaned:A.L. Almeida<SEP><SEP>R. Wyatt	cleaned_0index:1
Almeida J; Santos TS dos	Santos TS dos	parsed:J. Almeida<SEP>Santos TS dos	cleaned:J. Almeida<SEP>	cleaned_0index:1
Almeida K; Santos EB dos	Santos EB dos	parsed:K. Almeida<SEP>Santos EB dos	cleaned:K. Almeida<SEP>	cleaned_0index:1
Almodovar LR; Rosado VM; González J; Captain C	Captain C	parsed:L.R. Almodovar<SEP>V.M. Rosado<SEP>J. González<SEP>Captain C	cleaned:L.R. Almodovar<SEP>V.M. Rosado<SEP>J. González<SEP>	cleaned_0index:3
Alphen JJM van; Meijden R van der	Alphen JJM van	parsed:Alphen JJM van<SEP>Meijden R van der	cleaned:<SEP>	cleaned_0index:0
Alphen JJM van; Meijden R van der	Meijden R van der	parsed:Alphen JJM van<SEP>Meijden R van der	cleaned:<SEP>	cleaned_0index:1
Alphen JJM van; Mennema J	Alphen JJM van	parsed:Alphen JJM van<SEP>J. Mennema	cleaned:<SEP>J. Mennema	cleaned_0index:0
Alpinar K; Hart H 't				cleaned_0index:0
Alston AHG; Tertia Expeditione Neerlandica in Novam Guineam Meridionalem facta				cleaned_0index:0
Alston AHG; Unreadable	Unreadable	parsed:A.H.G. Alston<SEP>Unreadable	cleaned:A.H.G. Alston<SEP>	cleaned_0index:1
Altamirano S; Canaza M; Barra N de la; Altamirano P	Barra N de la	parsed:S. Altamirano<SEP>M. Canaza<SEP>Barra N de la<SEP>P. Altamirano	cleaned:S. Altamirano<SEP>M. Canaza<SEP><SEP>P. Altamirano	cleaned_0index:2
Altena AC van; Baukema	Altena AC van	parsed:Altena AC van<SEP>Baukema	cleaned:<SEP>Baukema	cleaned_0index:0
Altena AC van; Martin J	Altena AC van	parsed:Altena AC van<SEP>J. Martin	cleaned:<SEP>J. Martin	cleaned_0index:0
Altena AC van; Nicholson D	Altena AC van	parsed:Altena AC van<SEP>D. Nicholson	cleaned:<SEP>D. Nicholson	cleaned_0index:0
Altena AC van; Sivyer L	Altena AC van	parsed:Altena AC van<SEP>L. Sivyer	cleaned:<SEP>L. Sivyer	cleaned_0index:0
Altenburg W; Timmerman A; Ploeg DTE van der	Ploeg DTE van der	parsed:W. Altenburg<SEP>A. Timmerman<SEP>Ploeg DTE van der	cleaned:W. Altenburg<SEP>A. Timmerman<SEP>	cleaned_0index:2
Althuis M van; Keysers E	Althuis M van	parsed:Althuis M van<SEP>E. Keysers	cleaned:<SEP>E. Keysers	cleaned_0index:0
Alvarez Aguirre M; Burgt XM van der; Ngansop TE; Tchiengué B; Pickering H	Burgt XM van der	parsed:M. Alvarez Aguirre<SEP>Burgt XM van der<SEP>T.E. Ngansop<SEP>B. Tchiengué<SEP>H. Pickering	cleaned:M. Alvarez Aguirre<SEP><SEP>T.E. Ngansop<SEP>B. Tchiengué<SEP>H. Pickering	cleaned_0index:1
Alvarez JR				cleaned_0index:0
Alvis RJ; Pacific Vegetation Project	Pacific Vegetation Project	parsed:R.J. Alvis<SEP>Pacific Vegetation Project	cleaned:R.J. Alvis<SEP>	cleaned_0index:1
Amalraj VA; Carnatic Flora Project	Carnatic Flora Project	parsed:V.A. Amalraj<SEP>Carnatic Flora Project	cleaned:V.A. Amalraj<SEP>	cleaned_0index:1
Amaral Franco JMA do	Amaral Franco JMA do	parsed:Amaral Franco JMA do		cleaned_0index:0
Amaral IL do	Amaral IL do	parsed:Amaral IL do		cleaned_0index:0
Amaral IL do; Cid Ferreira CA; Guedes J; Lima J	Amaral IL do	parsed:Amaral IL do<SEP>C.A. Cid Ferreira<SEP>J. Guedes<SEP>J. Lima	cleaned:<SEP>C.A. Cid Ferreira<SEP>J. Guedes<SEP>J. Lima	cleaned_0index:0
Amaral IL do; Cid Ferreira CA; Guedes de Oliveira J; Lima J	Amaral IL do	parsed:Amaral IL do<SEP>C.A. Cid Ferreira<SEP>Guedes de Oliveira J<SEP>J. Lima	cleaned:<SEP>C.A. Cid Ferreira<SEP>Guedes de Oliveira J<SEP>J. Lima	cleaned_0index:0
Amaral IL do; Cid Ferreira CA; Meyer CA von; Guedes J; Lima J	Amaral IL do	parsed:Amaral IL do<SEP>C.A. Cid Ferreira<SEP>Meyer CA von<SEP>J. Guedes<SEP>J. Lima	cleaned:<SEP>C.A. Cid Ferreira<SEP><SEP>J. Guedes<SEP>J. Lima	cleaned_0index:0
Amaral IL do; Cid Ferreira CA; Meyer CA von; Guedes J; Lima J	Meyer CA von	parsed:Amaral IL do<SEP>C.A. Cid Ferreira<SEP>Meyer CA von<SEP>J. Guedes<SEP>J. Lima	cleaned:<SEP>C.A. Cid Ferreira<SEP><SEP>J. Guedes<SEP>J. Lima	cleaned_0index:2
Amaral IL do; Cornélio; Guedes J; Lima J	Amaral IL do	parsed:Amaral IL do<SEP>Cornélio<SEP>J. Guedes<SEP>J. Lima	cleaned:<SEP>Cornélio<SEP>J. Guedes<SEP>J. Lima	cleaned_0index:0
Amaral IL do; Cornélio; Guedes de Oliveira J; Lima L	Amaral IL do	parsed:Amaral IL do<SEP>Cornélio<SEP>Guedes de Oliveira J<SEP>L. Lima	cleaned:<SEP>Cornélio<SEP>Guedes de Oliveira J<SEP>L. Lima	cleaned_0index:0
Amaral IL do; Nelson BW; Magnuson WE	Amaral IL do	parsed:Amaral IL do<SEP>B.W. Nelson<SEP>W.E. Magnuson	cleaned:<SEP>B.W. Nelson<SEP>W.E. Magnuson	cleaned_0index:0
Amaral IL do; Rodrigues WA	Amaral IL do	parsed:Amaral IL do<SEP>W.A. Rodrigues	cleaned:<SEP>W.A. Rodrigues	cleaned_0index:0
Amaral IL do; Silva MN; Monteiro OP; et al.	Amaral IL do	parsed:Amaral IL do<SEP>M.N. Silva<SEP>O.P. Monteiro	cleaned:<SEP>M.N. Silva<SEP>O.P. Monteiro	cleaned_0index:0
Amaral IL do; et al.	Amaral IL do	parsed:Amaral IL do		cleaned_0index:0
Amaral Jr A				cleaned_0index:0
Amaral MCE do	Amaral MCE do	parsed:Amaral MCE do		cleaned_0index:0
Amaral MCE do; Bittrich V	Amaral MCE do	parsed:Amaral MCE do<SEP>V. Bittrich	cleaned:<SEP>V. Bittrich	cleaned_0index:0
Amaral MCE do; Furlan A; Hensold N	Amaral MCE do	parsed:Amaral MCE do<SEP>A. Furlan<SEP>N. Hensold	cleaned:<SEP>A. Furlan<SEP>N. Hensold	cleaned_0index:0
Amat; Boschproefstation	Boschproefstation	parsed:Amat<SEP>Boschproefstation	cleaned:Amat<SEP>	cleaned_0index:1
Amazonas-Expedition	Amazonas-Expedition	parsed:Amazonas-Expedition		cleaned_0index:0
Ambriansyah; Balgooy MMJ van; Sidiyasa K; Students	Balgooy MMJ van	parsed:Ambriansyah<SEP>Balgooy MMJ van<SEP>K. Sidiyasa<SEP>Students	cleaned:Ambriansyah<SEP><SEP>K. Sidiyasa<SEP>Students	cleaned_0index:1
Amdjah; Expedition Nieuwenhuis AW	Expedition Nieuwenhuis AW	parsed:Amdjah<SEP>Expedition Nieuwenhuis AW	cleaned:Amdjah<SEP>	cleaned_0index:1
Ames SR; Barkley FA				cleaned_0index:0
Amorie van der Hoeven HA des				cleaned_0index:0
Amorim AM; Alves MV; Sousa GM; Lyra-Lemos R; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>M.V. Alves<SEP>G.M. Sousa<SEP>R. Lyra-Lemos<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>M.V. Alves<SEP>G.M. Sousa<SEP>R. Lyra-Lemos<SEP>	cleaned_0index:4
Amorim AM; Alves MV; Sousa GM; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>M.V. Alves<SEP>G.M. Sousa<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>M.V. Alves<SEP>G.M. Sousa<SEP>	cleaned_0index:3
Amorim AM; Carvalho AMV de; Jardim JG; Silva JR da				cleaned_0index:0
Amorim AM; Carvalho AMV de; Sant'Ana SC da	Carvalho AMV de	parsed:A.M. Amorim<SEP>Carvalho AMV de<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP><SEP>	cleaned_0index:1
Amorim AM; Carvalho AMV de; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>Carvalho AMV de<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP><SEP>	cleaned_0index:2
Amorim AM; Ferrucci MS; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>M.S. Ferrucci<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>M.S. Ferrucci<SEP>	cleaned_0index:2
Amorim AM; Forzza RC; Costa CB; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>R.C. Forzza<SEP>C.B. Costa<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>R.C. Forzza<SEP>C.B. Costa<SEP>	cleaned_0index:3
Amorim AM; Forzza RC; Jardim JG; Juchum FS; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>R.C. Forzza<SEP>J.G. Jardim<SEP>F.S. Juchum<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>R.C. Forzza<SEP>J.G. Jardim<SEP>F.S. Juchum<SEP>	cleaned_0index:4
Amorim AM; Forzza RC; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>R.C. Forzza<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>R.C. Forzza<SEP>	cleaned_0index:2
Amorim AM; Goldenberg R; Lopes M; Gomes LC; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>R. Goldenberg<SEP>M. Lopes<SEP>L.C. Gomes<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>R. Goldenberg<SEP>M. Lopes<SEP>L.C. Gomes<SEP>	cleaned_0index:4
Amorim AM; Jardim JG; Paixão JL; Moura F; Sant'Ana SC da	Sant'Ana SC da	parsed:A.M. Amorim<SEP>J.G. Jardim<SEP>J.L. Paixão<SEP>F. Moura<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>J.G. Jardim<SEP>J.L. Paixão<SEP>F. Moura<SEP>	cleaned_0index:4
Amorim AM; Lopes M; Gomes LC; Sant'Ana SC da; Carvalho G	Sant'Ana SC da	parsed:A.M. Amorim<SEP>M. Lopes<SEP>L.C. Gomes<SEP>Sant'Ana SC da<SEP>G. Carvalho	cleaned:A.M. Amorim<SEP>M. Lopes<SEP>L.C. Gomes<SEP><SEP>G. Carvalho	cleaned_0index:3
Amorim AM; Maas PJM; Zuilen CM van; Santos TS do; Sant'Ana SC da; Duarte J	Zuilen CM van	parsed:A.M. Amorim<SEP>P.J.M. Maas<SEP>Zuilen CM van<SEP>Santos TS do<SEP>Sant'Ana SC da<SEP>J. Duarte	cleaned:A.M. Amorim<SEP>P.J.M. Maas<SEP><SEP><SEP><SEP>J. Duarte	cleaned_0index:2
Amorim AM; Maas PJM; Zuilen CM van; Santos TS do; Sant'Ana SC da; Duarte J	Santos TS do	parsed:A.M. Amorim<SEP>P.J.M. Maas<SEP>Zuilen CM van<SEP>Santos TS do<SEP>Sant'Ana SC da<SEP>J. Duarte	cleaned:A.M. Amorim<SEP>P.J.M. Maas<SEP><SEP><SEP><SEP>J. Duarte	cleaned_0index:3
Amorim AM; Maas PJM; Zuilen CM van; Santos TS do; Sant'Ana SC da; Duarte J	Sant'Ana SC da	parsed:A.M. Amorim<SEP>P.J.M. Maas<SEP>Zuilen CM van<SEP>Santos TS do<SEP>Sant'Ana SC da<SEP>J. Duarte	cleaned:A.M. Amorim<SEP>P.J.M. Maas<SEP><SEP><SEP><SEP>J. Duarte	cleaned_0index:4
Amorim AM; Maas PJM; Zuilen CM van; Santos TS dos; Sant'Ana SC da; Duarte	Zuilen CM van	parsed:A.M. Amorim<SEP>P.J.M. Maas<SEP>Zuilen CM van<SEP>Santos TS dos<SEP>Sant'Ana SC da<SEP>Duarte	cleaned:A.M. Amorim<SEP>P.J.M. Maas<SEP><SEP><SEP><SEP>Duarte	cleaned_0index:2
Amorim AM; Maas PJM; Zuilen CM van; Santos TS dos; Sant'Ana SC da; Duarte	Santos TS dos	parsed:A.M. Amorim<SEP>P.J.M. Maas<SEP>Zuilen CM van<SEP>Santos TS dos<SEP>Sant'Ana SC da<SEP>Duarte	cleaned:A.M. Amorim<SEP>P.J.M. Maas<SEP><SEP><SEP><SEP>Duarte	cleaned_0index:3
Amorim AM; Maas PJM; Zuilen CM van; Santos TS dos; Sant'Ana SC da; Duarte	Sant'Ana SC da	parsed:A.M. Amorim<SEP>P.J.M. Maas<SEP>Zuilen CM van<SEP>Santos TS dos<SEP>Sant'Ana SC da<SEP>Duarte	cleaned:A.M. Amorim<SEP>P.J.M. Maas<SEP><SEP><SEP><SEP>Duarte	cleaned_0index:4
Amorim AM; Matos F; Paixão JL; Jesus LC de; Sant'Ana SC da	Jesus LC de	parsed:A.M. Amorim<SEP>F. Matos<SEP>J.L. Paixão<SEP>Jesus LC de<SEP>Sant'Ana SC da	cleaned:A.M. Amorim<SEP>F. Matos<SEP>J.L. Paixão<SEP><SEP>	cleaned_0index:3
