,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_similarity
19737,Wasum,,,,,,,,Wasum,14,https://herbarium.bgbm.org/object/B100002014,16631.0,Wasum,"Wasum, R.",0.807
19809,Weigand,,,,,,,,Weigand,2,https://herbarium.bgbm.org/object/B101204635,16699.0,Weigand,"Weigand, A.M.",0.807
20750,Zürn,W.,,,,,,,"Zürn, W.",1,https://herbarium.bgbm.org/object/B100263111,17502.0,"Zürn, W.","Zürn, L.",0.807
1325,Berazaín,R.,,,,,,,"Berazaín, R.",113,https://herbarium.bgbm.org/object/B100089428,1093.0,"Berazaín, R.","Berazaín, F.A.",0.806
1782,Bolla,,,,,,,,Bolla,1,https://herbarium.bgbm.org/object/B100461092,1480.0,Bolla,"Bolla, J.",0.806
2081,Braun,A.C.H.,,,,,,,"Braun, A.C.H.",27,http://id.snsb.info/snsb/collection/110848/169626/111914,1745.0,"Braun, A.C.H.","Braun, A.",0.806
3174,Chinchilla,M.,,,,,,,"Chinchilla, M.",4,https://herbarium.bgbm.org/object/B200350756,2671.0,"Chinchilla, M.","Chinchilla, I.F.",0.806
5980,Gentry,,,,,,,,Gentry,2,https://herbarium.bgbm.org/object/B100184201,5042.0,Gentry,"Gentry, J.L.",0.806
6191,Gmelin,,,,,,,,Gmelin,3,https://herbarium.bgbm.org/object/B100217576,5228.0,Gmelin,"Gmelin, J.F.",0.806
6206,Godman,,,,,,,,Godman,1,https://herbarium.bgbm.org/object/B200029377,5240.0,Godman,"Godman, F.D.",0.806
6272,Gomez,,,,,,,,Gomez,1,http://id.snsb.info/snsb/collection/479031/590057/260020,5296.0,Gomez,"Gomez, B.",0.806
6527,Griewank,G.,,,,,,,"Griewank, G.",4,https://je.jacq.org/JE00013177,5524.0,"Griewank, G.","Griewank, G.H.F.G.",0.806
7060,Hansen,H.W.,,,,,,,"Hansen, H.W.",2,https://herbarium.bgbm.org/object/B100241081,5971.0,"Hansen, H.W.","Hansen, H.V.",0.806
8853,Jäger,M.,,,,,,,"Jäger, M.",8,https://herbarium.bgbm.org/object/B101024082,7519.0,"Jäger, M.","Jäger, H.",0.806
9009,Karsten,G.H.H.,,,,,,,"Karsten, G.H.H.",3,https://je.jacq.org/JE04000387,7634.0,"Karsten, G.H.H.","Karsten, G.",0.806
12037,Merrill,,,,,,,,Merrill,34,https://herbarium.bgbm.org/object/B180002034,10156.0,Merrill,"Merrill, J.A.",0.806
12446,Moreno,V.,,,,,,,"Moreno, V.",1,https://herbarium.bgbm.org/object/B100246649,10517.0,"Moreno, V.","Moreno, J.",0.806
12625,Mur,L.,,,,,,,"Mur, L.",5,https://je.jacq.org/JE00013253,10667.0,"Mur, L.","Mur, L.R.",0.806
13891,Peitz,,,,,,,,Peitz,1,https://dr.jacq.org/DR046571,11722.0,Peitz,"Peitz, E.",0.806
15849,Rumsey,H.,,,,,,,"Rumsey, H.",2,http://id.snsb.info/snsb/collection/437534/536879/220327,13401.0,"Rumsey, H.","Rumsey, F.J.",0.806
17357,Sivers,M.v,,,,,,,"Sivers, M.v",3,https://herbarium.bgbm.org/object/B180012534,14663.0,"Sivers, M.v","Sivers, F.M.v.",0.806
18161,Swartz,,,,,,,,Swartz,32,https://herbarium.bgbm.org/object/BW04569010,15346.0,Swartz,"Swartz, O.",0.806
18271,Tahir,A.,,,,,,,"Tahir, A.",1,https://herbarium.bgbm.org/object/B100069256,15426.0,"Tahir, A.","Tahir, H.M.",0.806
18627,Timmermann,T.,,,,,,,"Timmermann, T.",3,https://herbarium.bgbm.org/object/B100630795,15705.0,"Timmermann, T.","Timmerman, A.",0.806
19464,Vogt,I.,,,,,,,"Vogt, I.",5,https://herbarium.bgbm.org/object/B100513964,16394.0,"Vogt, I.","Vogt, R.",0.806
19775,Weber,L.,,,,,,,"Weber, L.",89,https://herbarium.bgbm.org/object/B100847639,16667.0,"Weber, L.","Weber, J.",0.806
20244,Witte,,,,,,,,Witte,2,https://herbarium.bgbm.org/object/B100076663,17093.0,Witte,"Witte, H.",0.806
20629,Zhu,D.,,,,,,,"Zhu, D.",5,https://herbarium.bgbm.org/object/B101042590,17403.0,"Zhu, D.","Zhu, D.Y.",0.806
1894,Borkowsky,,,,,,,,Borkowsky,7,https://herbarium.bgbm.org/object/B100076685,1577.0,Borkowsky,"Borkowski, R.",0.805
1942,Bothe,,,,,,,,Bothe,42,https://herbarium.bgbm.org/object/B100526248,1620.0,Bothe,"Bothe, H.",0.805
2815,Carneiro,J.,,,,,,,"Carneiro, J.",3,https://herbarium.bgbm.org/object/B100157315,2369.0,"Carneiro, J.","Carneiro, C.R.",0.805
3731,Cáceres,M.,,,,,,,"Cáceres, M.",13,https://herbarium.bgbm.org/object/B600168775,3150.0,"Cáceres, M.","Cáceres, E.J.",0.805
4057,Dichtl,P.A.,,,,,,,"Dichtl, P.A.",2,http://id.snsb.info/snsb/collection/408276/477565/192160,3421.0,"Dichtl, P.A.","Dichtl, A.",0.805
4430,Duss,,,,,,,,Duss,9,https://herbarium.bgbm.org/object/B180009244,3738.0,Duss,"Duss, A.",0.805
