source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
A. C. Cole & Los Angeles County Museum & Natural History & Museu	Natural History	parsed:A.C. Cole<SEP>Los Angeles County<SEP>Natural History<SEP>Museu	cleaned:A.C. Cole<SEP>Los Angeles County<SEP><SEP>Museu	cleaned_0index:2
A. C. Cole & Los Angeles County Museum & Natural History & Natio	Natural History	parsed:A.C. Cole<SEP>Los Angeles County<SEP>Natural History<SEP>Natio	cleaned:A.C. Cole<SEP>Los Angeles County<SEP><SEP>Natio	cleaned_0index:2
According & B. Seret & Lesson & The & However & Lesson's & From				cleaned_0index:0
According & Peru'				cleaned_0index:0
Aceh & Gunung Leuser Nat. Pk. & Ketambe Res. Sta. & DC Darling.	Gunung Leuser Nat. Pk.	parsed:Aceh<SEP>Gunung Leuser Nat. Pk.<SEP>Ketambe Res Sta<SEP>D.C. Darling	cleaned:Aceh<SEP><SEP>Ketambe Res Sta<SEP>D.C. Darling	cleaned_0index:1
A. Chagas & Jr, A & Kury, D & Pedroso, A. P. L & Giupponi & V. D				cleaned_0index:0
A. Chagas & Jr, A & Kury, D & Pedroso, A. P. L & V. Dill				cleaned_0index:0
A. Chagas & Jr, A. P. L & Giupponi, D. Pedroso & A. Kury				cleaned_0index:0
A. Chagas-Jr. et al.				cleaned_0index:0
A. Chagas-Jr. et al.				cleaned_0index:0
A. Clarke. Host & The	The	parsed:A.Clarke Host<SEP>The	cleaned:A. Clarke Host<SEP>	cleaned_0index:1
A. C. Postle & Argyle Diamond Mines Collection	Argyle Diamond Mines Collection	parsed:A.C. Postle<SEP>Argyle Diamond Mines Collection	cleaned:A.C. Postle<SEP>	cleaned_0index:1
Acro Col.				cleaned_0index:0
A. Crottini; D. Salvi; E. Scanarini; George; J. N el & F. Andreo	J. N el	parsed:A. Crottini<SEP>D. Salvi<SEP>E. Scanarini<SEP>George<SEP>J. N el<SEP>F. Andreo	cleaned:A. Crottini<SEP>D. Salvi<SEP>E. Scanarini<SEP>George<SEP><SEP>F. Andreo	cleaned_0index:4
Action & du Museum	du	parsed:Action<SEP>du	cleaned:Action<SEP>	cleaned_0index:1
Ad				cleaned_0index:0
Ad				cleaned_0index:0
Ad				cleaned_0index:0
Ad				cleaned_0index:0
Ad				cleaned_0index:0
Ad				cleaned_0index:0
Ad				cleaned_0index:0
Ad				cleaned_0index:0
Ad				cleaned_0index:0
Ad				cleaned_0index:0
A. Davis & Coll. Fairmaire				cleaned_0index:0
ADB & LVk & C.O. Berg	LVk	parsed:ADB<SEP>LVk<SEP>C.O. Berg	cleaned:Adb<SEP><SEP>C.O. Berg	cleaned_0index:1
A. D. Brescovit & Cerro de La Sociedad Cientifica	Cerro de La Sociedad Cientifica	parsed:A.D. Brescovit<SEP>Cerro de La Sociedad Cientifica	cleaned:A.D. Brescovit<SEP>	cleaned_0index:1
A. D. Colon Archilla. Host & The	A. D. Colon Archilla. Host	parsed:A. D. Colon Archilla. Host<SEP>The	cleaned:<SEP>	cleaned_0index:0
A. D. Colon Archilla. Host & The	The	parsed:A. D. Colon Archilla. Host<SEP>The	cleaned:<SEP>	cleaned_0index:1
A. D. d'Orbigny. The	A. D. d'Orbigny. The	parsed:A. D. d'Orbigny. The		cleaned_0index:0
A. De	A. De	parsed:A. De		cleaned_0index:0
A. de Cooman & Coll. J. Clermont				cleaned_0index:0
A. Degiovanni & The	The	parsed:A. Degiovanni<SEP>The	cleaned:A. Degiovanni<SEP>	cleaned_0index:1
Adelaid & Bowring. & So & Reiches Collection. C. W. & Collection	Reiches Collection. C. W.	parsed:Adelaid<SEP>Bowring<SEP>So<SEP>Reiches Collection. C. W.<SEP>Collection	cleaned:Adelaid<SEP>Bowring<SEP>So<SEP><SEP>	cleaned_0index:3
Adelaid & Bowring. & So & Reiches Collection. C. W. & Collection	Collection	parsed:Adelaid<SEP>Bowring<SEP>So<SEP>Reiches Collection. C. W.<SEP>Collection	cleaned:Adelaid<SEP>Bowring<SEP>So<SEP><SEP>	cleaned_0index:4
