,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
9803,Lackowitz,W.,,,,,,,"Lackowitz, W.",6,https://dr.jacq.org/DR056130,1156,"Lackowitz, W.","Lackowitz, A.W.",0.65
9804,Lacroix,F.,,,,,,,"Lacroix, F.",1,https://herbarium.bgbm.org/object/B100141945,11529,"Lacroix, F.","Lacroix, C.A.",0.65
9860,Lam,,,,,,,,Lam,2,https://herbarium.bgbm.org/object/B100296712,8754,Lam,"Lam, A.",0.65
9898,Landrecy,V.,,Cypers von,,,,,"Landrecy, V.",19,https://herbarium.bgbm.org/object/B101014915,17253,"Landrecy, V.","Landrecy, V.C.v.",0.65
9937,Lanier,J.,,,,,,,"Lanier, J.",1,https://herbarium.bgbm.org/object/B300259190,16253,"Lanier, J.","Lanier, L.",0.65
10262,Lesson,R.P.,,,,,,,"Lesson, R.P.",2,https://herbarium.bgbm.org/object/B101157137,7400,"Lesson, R.P.","Lesson, R.",0.65
10295,Levyns,M.R.B.,,,,,,,"Levyns, M.R.B.",2,http://id.snsb.info/snsb/collection/17313/26092/17133,1968,"Levyns, M.R.B.","Levyns, M.",0.65
10453,Linke,H.,,,,,,,"Linke, H.",1,https://herbarium.bgbm.org/object/B100192949,8779,"Linke, H.","Linke, A.",0.65
10508,Lièvre,A.,,Val de,,,,,"Lièvre, A.",9,https://herbarium.bgbm.org/object/B100384068,9448,"Lièvre, A.","Lièvre, A.V.d.",0.65
10816,Léonard,A.,,,,,,,"Léonard, A.",7,http://id.snsb.info/snsb/collection/20873/29652/20693,19115,"Léonard, A.","Léonard, G.",0.65
10818,Léonard,J.,,,,,,,"Léonard, J.",7,http://id.snsb.info/snsb/collection/20680/29459/20500,8317,"Léonard, J.","Léonard, G.",0.65
10887,Lützow,C.,,,,,,,"Lützow, C.",7,https://je.jacq.org/JE04006651,7123,"Lützow, C.","Lützow, G.",0.65
10888,Lützow,E.,,,,,,,"Lützow, E.",1,https://herbarium.bgbm.org/object/B300028902,6835,"Lützow, E.","Lützow, G.",0.65
10973,Magaña,F.,,,,,,,"Magaña, F.",325,https://herbarium.bgbm.org/object/B100039168,7973,"Magaña, F.","Magaña, P.",0.65
11018,Maire,R.P.,,,,,,,"Maire, R.P.",8,https://herbarium.bgbm.org/object/B200145909,6723,"Maire, R.P.","Maire, R.",0.65
11302,Martínez,G.,,,,,,,"Martínez, G.",1,https://herbarium.bgbm.org/object/B100843826,7942,"Martínez, G.","Martínez, J.",0.65
11303,Martínez,H.,,,,,,,"Martínez, H.",46,https://herbarium.bgbm.org/object/B100033272,10366,"Martínez, H.","Martínez, J.",0.65
11307,Martínez,L.,,,,,,,"Martínez, L.",7,https://herbarium.bgbm.org/object/B101141293,15487,"Martínez, L.","Martínez, J.",0.65
11378,Matos,A.,,,,,,,"Matos, A.",2,https://je.jacq.org/JE00010884,9821,"Matos, A.","Matos, E.",0.65
11586,Meisel,B.,,,,,,,"Meisel, B.",1,https://herbarium.bgbm.org/object/B100293109,204,"Meisel, B.","Meisel, M.",0.65
11645,Meléndez,R.,,,,,,,"Meléndez, R.",2,https://herbarium.bgbm.org/object/B100031278,1779,"Meléndez, R.","Meléndez, J.M.",0.65
11663,Mendonça,,,,,,,,Mendonça,18,https://herbarium.bgbm.org/object/B200124137,4607,Mendonça,"Mendonça, C.V.",0.65
11905,Miranda,V.,,,,,,,"Miranda, V.",1,http://id.snsb.info/snsb/collection/478966/589992/259955,9678,"Miranda, V.","Miranda, F.",0.65
11917,Missbach,R.,,,,,,,"Missbach, R.",85,https://je.jacq.org/JE00008131,4333,"Missbach, R.","Missbach, E.R.",0.65
11979,Molesworth-Allen,,,,,,,,Molesworth-Allen,1,https://herbarium.bgbm.org/object/B200009529,19028,Molesworth-Allen,"Molesworth, C.",0.65
12049,Montserrat,M.,,,,,,,"Montserrat, M.",1,https://herbarium.bgbm.org/object/B100595254,8955,"Montserrat, M.","Montserrat-Marti, J.M.",0.65
12243,Mueller-Doblies,D.,,,,,,,"Mueller-Doblies, D.",3,https://herbarium.bgbm.org/object/B100355622,10700,"Mueller-Doblies, D.","Müller-Doblies, D.",0.65
12426,Müller,J.K.A.,,,,,,,"Müller, J.K.A.",1,https://je.jacq.org/JE04007122,1398,"Müller, J.K.A.","Müller, J.",0.65
364,Müller,Hermann Heinrich L.,,,,,,,"Müller, Hermann Heinrich L.",1,https://dr.jacq.org/DR033583,73,"Müller, Hermann Heinrich L.","Möller, Heinrich",0.65
12521,Naumann,H.A.,,,,,,,"Naumann, H.A.",6,https://dr.jacq.org/DR010144,3632,"Naumann, H.A.","Naumann, A.",0.65
12727,Nijs,J.C.M.,,den,,,,,"Nijs, J.C.M.",1,https://herbarium.bgbm.org/object/B100097051,3556,"Nijs, J.C.M.","Nijs, J.C.M.D.",0.65
12819,Norris,W.,,,,,,,"Norris, W.",2,https://herbarium.bgbm.org/object/B200145206,19015,"Norris, W.","Norris, G.",0.65
12827,Norton,G.,,,,,,,"Norton, G.",1,https://herbarium.bgbm.org/object/B100157463,1964,"Norton, G.","Norton, G.P.",0.65
