recordedBy	occurrenceID_count	occurrenceID_first
Akiyama,H. & Suleiman,M.	1	https://je.jacq.org/JE04009352
Akopian,J.	2	https://herbarium.bgbm.org/object/B180021551
Aké Assi	1	https://herbarium.bgbm.org/object/B100517582
Aké Assi,L.	33	https://herbarium.bgbm.org/object/B100012211
Aké Assi,L. & Monné,Alle	1	https://herbarium.bgbm.org/object/B100159171
Al-Eisawi,D.	5	https://herbarium.bgbm.org/object/B100057781
Al-Fatimi,M.	22	https://herbarium.bgbm.org/object/B100206540
Al-Gifri,A.N.	14	https://herbarium.bgbm.org/object/B100459081
Al-Jibouri	1	https://herbarium.bgbm.org/object/B100591931
Al-Shehbaz,I., Tai,EW. & Jun-Lian,Y.	1	https://herbarium.bgbm.org/object/B100024960
Alamillo, J.M. (no. 125)	1	http://id.snsb.info/snsb/collection/458853/559552/237702
Alamillo, J.M. (no. 54 GN)	1	http://id.snsb.info/snsb/collection/458958/559657/237807
Alas,J.	4	https://herbarium.bgbm.org/object/B101167422
Albers	11	https://herbarium.bgbm.org/object/B180011447
Albers,E.	6	https://herbarium.bgbm.org/object/B200011246
Albers,E. & Eick,E.	1	https://herbarium.bgbm.org/object/B180008489
Albert	7	https://herbarium.bgbm.org/object/B100003518
Albert,A.	1	https://je.jacq.org/JE00007598
Albert,R.	1	https://herbarium.bgbm.org/object/B100650533
Albert,R., Vitek,E., Escobar Garcia,P. & Fayvush,G.	1	https://herbarium.bgbm.org/object/B101115739
Albertin,A.	1	https://herbarium.bgbm.org/object/B101112691
Albertis, C.L.M. d´	1	http://id.snsb.info/snsb/collection/652097/708813/357763
Albertis,L.M. d'	6	https://herbarium.bgbm.org/object/B100365081
Albertshofer	1	https://herbarium.bgbm.org/object/B100050246
Albertshofer, E.	7	http://id.snsb.info/snsb/collection/189464/220246/172115
Albo, G.	1	http://id.snsb.info/snsb/collection/459414/560115/238263
Alboff	3	https://herbarium.bgbm.org/object/B100158467
Alboff, N. (no. 522)	1	http://id.snsb.info/snsb/collection/444698/544901/227552
Alboff,N.	4	https://herbarium.bgbm.org/object/B100093173
Alboff,N.M.	1	https://herbarium.bgbm.org/object/B100242904
Albov,N.M.	7	https://je.jacq.org/JE00003269
Albrecht	2	https://dr.jacq.org/DR046961
